Öğr. Gör. Dr. Fatma Tekin,TÜRK DİLİ I,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121953/635810/1
"Öğr.Gör. Belkız AYAZ ÇOBAN, Öğr.Gör. İbrahim ÇOBAN",ATATÜRK İLKELERİ VE İNKILAP TARİHİ I,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121955/635256/1
Assoc. Prof. Dr. Vecdi AYTAÇ,MATEMATİK-I,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121959/633004/1
"Prof. Dr.Cüneyt ÇELİKTAŞ, Assoc. Prof. Dr. Mine ÇAPAR",FİZİK-I,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121962/635616/1
Dr. Öğr. Üyesi Özgür Gümüş,ALGORİTMA VE PROGRAMLAMA-I,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121965/632540/1
Dr. Öğretim Görevlisi Sevtap Duman Kaymaz,TECHNICAL ENGLISH,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121967/634963/1
Dr Öğr. Üyesi Ahmet Egesoy,ÜNİVERSİTE YAŞAMINA GEÇİŞ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/231680/675267/1
Dr. Öğretim Görevlisi  Sevtap Duman Kaymaz,SÖZLÜ VE YAZILI İLETİŞİM,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/241588/679913/1
Dr. Öğretim Üyesi Emine SEZER,KARİYER PLANLAMA,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/284538/768024/1
,TÜRK DİLİ II,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121950/632579/1
,ATATÜRK İLKELERİ VE İNKILAP TARİHİ II,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121951/632950/1
Assoc. Prof. Dr. Vecdi AYTAÇ,MATEMATİK-II,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121970/638048/1
"Prof. Dr. Cüneyt ÇELİKTAŞ, Doç. Dr. Mine ÇAPAR",FİZİK-II,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121973/635999/1
Prof. Dr. Vecdi AYTAÇ,AYRIK YAPILAR,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/121975/638029/1
